af form	1025
af from	2075
afar from	7596
affair form	44
affair from	19365
affair than	21493
affair their	192
affair then	1553
affair there	3404
affair though	518
affair through	2716
affairs field	2538
affairs filed	282
affairs form	656
affairs from	65293
affairs manager	4069
affairs public	2205
affairs quiet	157
affairs quite	2336
affairs than	51936
affairs their	1649
affairs then	4155
affairs there	20782
affairs though	1059
affairs through	27783
affairs whether	2406
affect !	559
affect "	34259
affect '	15701
affect ''	204
affect 's	847
affect (	69325
affect )	23167
affect *	1452
affect +	128
affect ,	367888
affect -	42622
affect --	21402
affect .	220087
affect ..	103
affect ...	2574
affect ....	488
affect /	7742
affect 0	295
affect 1	3222
affect 10	1094
affect 2	1368
affect 3	1173
affect 4	787
affect 5	1599
affect 6	715
affect 7	594
affect 8	464
affect :	33017
affect ;	17198
affect =	276
affect >	150
affect ?	9574
affect [	7034
affect ]	1499
affect ^	481
affect a	324340
affect a.	1075
affect ability	2475
affect about	6701
affect above	328
affect absorption	3979
affect academic	4054
affect access	6693
affect according	182
affect accordingly	69
affect accounts	562
affect accuracy	3296
affect achieved	102
affect achievement	4258
affect across	629
affect acting	84
affect action	2416
affect activities	2294
affect activity	3568
affect acts	282
affect actual	3590
affect actually	151
affect added	41
affect adjective	4104
affect adjustment	1543
affect adolescents	2313
affect adult	3809
affect adults	3395
affect adversely	19587
affect african	2616
affect after	1382
affect again	140
affect against	382
affect aggregate	8561
affect agricultural	5305
affect agriculture	3575
affect air	4287
affect alcohol	783
affect all	152356
affect allowed	55
affect allows	166
affect almost	8991
affect alone	444
affect along	257
affect already	570
affect also	5463
affect although	150
affect always	261
affect american	8605
affect among	2047
affect amounts	398
affect an	78894
affect analysis	981
affect and	207216
affect animal	2258
affect animals	2748
affect another	15022
affect any	108169
affect anyone	7336
affect anything	5319
affect apparently	142
affect appear	287
affect appeared	292
affect appears	1120
affect applied	93
affect applies	46
affect approach	159
affect approximately	2979
affect aquatic	2078
affect are	12529
affect areas	2906
affect arises	365
affect arising	275
affect around	832
affect as	25679
affect associated	6837
affect assumes	43
affect at	11237
affect attitudes	10777
affect attributed	121
affect attunement	3528
affect automatically	57
affect b	2575
affect b.	826
affect back	307
affect balance	5810
affect bank	2177
affect based	477
affect basic	3087
affect be	545
affect became	366
affect because	1639
affect become	290
affect becomes	1397
affect becoming	64
affect been	51
affect before	658
affect began	89
affect begins	184
affect behavior	38679
affect behavioral	2049
affect behaviour	7409
affect being	1483
affect below	63
affect better	224
affect between	3754
affect beyond	249
affect binding	2305
affect biological	3530
affect black	4082
affect blood	15831
affect body	6715
affect bone	6661
affect both	131811
affect brain	9138
affect british	2843
affect brought	125
affect business	13548
affect but	4888
affect by	9388
affect c	1463
affect c.	491
affect calcium	3065
affect called	82
affect came	87
affect can	9890
affect capital	3819
affect cardiac	4613
affect career	2334
affect cash	6594
affect cause	122
affect caused	411
affect causes	233
affect causing	36
affect cell	11546
affect cells	2793
affect cellular	4019
affect central	2902
affect certain	11893
affect chain	238
affect chains	29
affect change	11908
affect changes	8395
affect child	5833
affect children	39363
affect china	3171
affect choice	3622
affect choices	2508
affect citizens	2273
affect classroom	2057
affect clearly	179
affect clients	2291
affect climate	5793
affect clinical	3657
